filepath,filename,category_folder,parsed_park_code,parsed_site_code,parsed_date,free_text_description,score,keyword_score,quality_score,quality_tags,mammal_type,xc_common_name,xc_quality,file_size_bytes
"Alaska Sound Showcase pt. 2/DENATRLA_20240618_160107 clear, relatively undistorted American Red Squirrel calls.wav","DENATRLA_20240618_160107 clear, relatively undistorted American Red Squirrel calls.wav",Alaska Sound Showcase pt. 2,DENA,TRLA,2024-06-18,"clear, relatively undistorted American Red Squirrel calls",5,4,1,clear,,,,12348044
Alaska Sound Showcase pt. 2/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.wav,GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.wav,Alaska Sound Showcase pt. 2,GLBA,BARTC,2020-07-07,Sooty_Grous_near_mic_AMPLIFY_FADEewav,0,0,0,,,,,5380244
Alaska Sound Showcase pt. 2/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.wav,GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.wav,Alaska Sound Showcase pt. 2,GLBA,BARTC,2021-07-26,curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY,0,0,0,,,,,18596760
BIRD ID/GLBARENDU_20220612_022508 very clear Varied Thrush song background Humpback Whale breaching.wav,GLBARENDU_20220612_022508 very clear Varied Thrush song background Humpback Whale breaching.wav,BIRD ID,GLBA,RENDU,2022-06-12,very clear Varied Thrush song background Humpback Whale breaching,24,21,3,very_clear,,,,17728244
BIRD ID/GLBARENDU_20220616_230000 very clear Varied Thrush song background Humpback Whale activity.wav,GLBARENDU_20220616_230000 very clear Varied Thrush song background Humpback Whale activity.wav,BIRD ID,GLBA,RENDU,2022-06-16,very clear Varied Thrush song background Humpback Whale activity,16,13,3,very_clear,,,,49656644
BIRD ID/2019_metadata entered/KATMJOJO_20160710_221044 excellent Common Loon call chorus.MP3,KATMJOJO_20160710_221044 excellent Common Loon call chorus.MP3,BIRD ID,KATM,JOJO,2016-07-10,excellent Common Loon call chorus,11,6,5,excellent,,Gavia immer,4.0,5402166
"BIRD ID/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.wav","DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.wav",BIRD ID,DENA,HOG3,2012-06-01,"clear Fox Sparrow song possible calls, chorus background",10,9,1,clear,,,,18257444
"BIRD ID/2019_metadata entered/GAARFLOR_20180617_125710 chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel.MP3","GAARFLOR_20180617_125710 chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel.MP3",BIRD ID,GAAR,FLOR,2018-06-17,"chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel",10,10,0,,,,4.0,6762623
"BIRD ID/DENAHOG3_20120605_074102 clear American Tree Sparrow song, a little faster, chorus background.wav","DENAHOG3_20120605_074102 clear American Tree Sparrow song, a little faster, chorus background.wav",BIRD ID,DENA,HOG3,2012-06-05,"clear American Tree Sparrow song, a little faster, chorus background",10,9,1,clear,,,,7144244
"BIRD ID/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.wav","DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.wav",BIRD ID,DENA,TOKO,2016-06-16,"Orange-crowned Warbler song background chorus, Tokositna River",9,9,0,,,,,34750844
"BIRD ID/for xeno-canto/entered/DENAHOG3_20120605_074102 American Tree Sparrow song, chorus background.mp3","DENAHOG3_20120605_074102 American Tree Sparrow song, chorus background.mp3",BIRD ID,DENA,HOG3,2012-06-05,"American Tree Sparrow song, chorus background",9,9,0,,,,,1125564
BIRD ID/DENAPOL2_20120619_092801 excellent clear Fox Sparrow song.wav,DENAPOL2_20120619_092801 excellent clear Fox Sparrow song.wav,BIRD ID,DENA,POL2,2012-06-19,excellent clear Fox Sparrow song,9,3,6,"excellent,clear",,,,9878444
"BIRD ID/DENAHOTS_20140602_085830 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation.wav","DENAHOTS_20140602_085830 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation.wav",BIRD ID,DENA,HOTS,2014-06-02,"excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation",9,4,5,excellent,,,,6350444
"BIRD ID/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.wav","DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.wav",BIRD ID,DENA,HOTS,2014-06-02,"excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu",9,4,5,excellent,,,,4612784
"BIRD ID/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation short cut TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.wav","DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation short cut TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.wav",BIRD ID,DENA,HOTS,2014-06-02,"excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation short cut TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu",9,4,5,excellent,,,,1505050
BIRD ID/DENAHAUK_20140606_035354 Northern Waterthrush song with other chorus members.wav,DENAHAUK_20140606_035354 Northern Waterthrush song with other chorus members.wav,BIRD ID,DENA,HAUK,2014-06-06,Northern Waterthrush song with other chorus members,9,9,0,,,,,17287244
BIRD ID/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.wav,DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.wav,BIRD ID,DENA,TOKO,2016-05-12,White-crowned Sparrow song with chorus background,9,9,0,,,,,5380244
"BIRD ID/DENATOKO_20160527_115359 White-crowned Sparrow song, background chorus Tokositna River.wav","DENATOKO_20160527_115359 White-crowned Sparrow song, background chorus Tokositna River.wav",BIRD ID,DENA,TOKO,2016-05-27,"White-crowned Sparrow song, background chorus Tokositna River",9,9,0,,,,,31752044
BIRD ID/DENAWOCR_20150624_202549 Fox Sparrow song with thunder TRIM.wav,DENAWOCR_20150624_202549 Fox Sparrow song with thunder TRIM.wav,BIRD ID,DENA,WOCR,2015-06-24,Fox Sparrow song with thunder TRIM,9,9,0,,,,,2569994
BIRD ID/DENAWOCR_20150624_202452 Fox Sparrow song with thunder.wav,DENAWOCR_20150624_202452 Fox Sparrow song with thunder.wav,BIRD ID,DENA,WOCR,2015-06-24,Fox Sparrow song with thunder,9,9,0,,,,,20815244
BIRD ID/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.wav,DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.wav,BIRD ID,DENA,SAN3,2012-06-03,White-crowned Sparrow song with chorus background,9,9,0,,,,,10584044
BIRD ID/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.wav,GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.wav,BIRD ID,GAAR,UPNO,2018-06-07,Savanah Sparrow song with chorus background,9,9,0,,,,,7232444
BIRD ID/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.wav,GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.wav,BIRD ID,GAAR,UPNO,2018-06-06,avian chorus with Savanah Sparrow and occasional insect wingbeats,9,9,0,,,,,20815244
"BIRD ID/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.wav","KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.wav",BIRD ID,KATM,CROS,2017-07-31,"Gray-cheeked Thrush song with diverse, distant riparian background chorus",8,9,-1,distant,,,,6879644
"BIRD ID/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.wav","KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.wav",BIRD ID,KATM,KABA,2016-08-23,"excellent very clear Northern Raven calls, background American Tree Sparrow calls",8,0,8,"excellent,very_clear",,,,5821244
"BIRD ID/DENASUSH_20260610_092353 excellent Northern Raven flight calls with reverberance, preceded by wingbeats.wav","DENASUSH_20260610_092353 excellent Northern Raven flight calls with reverberance, preceded by wingbeats.wav",BIRD ID,DENA,SUSH,2026-06-10,"excellent Northern Raven flight calls with reverberance, preceded by wingbeats",8,3,5,excellent,,,,4544046
BIRD ID/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.wav,DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.wav,BIRD ID,DENA,MURI,2015-05-19,clear Blackpoll Warbler with dense chorus below TRIM,7,6,1,clear,,,,8846506
"BIRD ID/2019_metadata entered/GAARNNUT_20140704_072937 clear, punctuated Common Loon, background chorus.MP3","GAARNNUT_20140704_072937 clear, punctuated Common Loon, background chorus.MP3",BIRD ID,GAAR,NNUT,2014-07-04,"clear, punctuated Common Loon, background chorus",7,6,1,clear,,Gavia immer,3.0,21242819
BIRD ID/DENAMURI_20150614_060747 faint Common Loon with great reverberation and chorus.wav,DENAMURI_20150614_060747 faint Common Loon with great reverberation and chorus.wav,BIRD ID,DENA,MURI,2015-06-14,faint Common Loon with great reverberation and chorus,7,10,-3,faint,,,,10936844
BIRD ID/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below.wav,DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below.wav,BIRD ID,DENA,MURI,2015-05-19,clear Blackpoll Warbler with dense chorus below,7,6,1,clear,,,,11554244
BIRD ID/DENATRLA_20240624_045058 clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU.wav,DENATRLA_20240624_045058 clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU.wav,BIRD ID,DENA,TRLA,2024-06-24,clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU,7,6,1,clear,,,,23461244
"BIRD ID/DENAHOG3_20120601_041041 clear American Tree Sparrow, chorus background.wav","DENAHOG3_20120601_041041 clear American Tree Sparrow, chorus background.wav",BIRD ID,DENA,HOG3,2012-06-01,"clear American Tree Sparrow, chorus background",7,6,1,clear,,,,8114444
BIRD ID/LACLHANM_20190829_062559 very clear Common Loon calls with reverberation and some distortion.wav,LACLHANM_20190829_062559 very clear Common Loon calls with reverberation and some distortion.wav,BIRD ID,LACL,HANM,2019-08-29,very clear Common Loon calls with reverberation and some distortion,7,4,3,very_clear,,,,15964244
"BIRD ID/DENABICR_20130812_083317 Spruce Grouse, wingbeats and cooing.wav","DENABICR_20130812_083317 Spruce Grouse, wingbeats and cooing.wav",BIRD ID,DENA,BICR,2013-08-12,"Spruce Grouse, wingbeats and cooing",7,7,0,,,,,30958244
"BIRD ID/2019_metadata entered/GAARFLOR_20180615_050000 very clear American Robin song, pt 2.wav","GAARFLOR_20180615_050000 very clear American Robin song, pt 2.wav",BIRD ID,GAAR,FLOR,2018-06-15,"very clear American Robin song, pt 2",6,3,3,very_clear,,Turdus migratorius,4.0,15701606
"BIRD ID/DENAKICH_20120524_081441 Wandering Tattler with background chorus of GCSP, FOSP.wav","DENAKICH_20120524_081441 Wandering Tattler with background chorus of GCSP, FOSP.wav",BIRD ID,DENA,KICH,2012-05-24,"Wandering Tattler with background chorus of GCSP, FOSP",6,6,0,,,,,3969044
BIRD ID/DENAMURI_20150526_060431 very reverberant Sandhill Crane with chorus.wav,DENAMURI_20150526_060431 very reverberant Sandhill Crane with chorus.wav,BIRD ID,DENA,MURI,2015-05-26,very reverberant Sandhill Crane with chorus,6,6,0,,,,,4939244
"BIRD ID/DENAMURI_20150523_045418 chorus with Swainson's Thrush, Common Loon.wav","DENAMURI_20150523_045418 chorus with Swainson's Thrush, Common Loon.wav",BIRD ID,DENA,MURI,2015-05-23,"chorus with Swainson's Thrush, Common Loon",6,6,0,,,,,21785444
BIRD ID/DENAMURI_20150516_050450 Common Loon with robust chorus.wav,DENAMURI_20150516_050450 Common Loon with robust chorus.wav,BIRD ID,DENA,MURI,2015-05-16,Common Loon with robust chorus,6,6,0,,,,,8379044
BIRD ID/2019_metadata entered/GAARMWAL_20140617_064326 Mew Gull with chorus background.wav,GAARMWAL_20140617_064326 Mew Gull with chorus background.wav,BIRD ID,GAAR,MWAL,2014-06-17,Mew Gull with chorus background,6,6,0,,,Larus canus,3.0,8380880
BIRD ID/2019_metadata entered/GAARFLOR_20180615_045829 very clear American Robin song.wav,GAARFLOR_20180615_045829 very clear American Robin song.wav,BIRD ID,GAAR,FLOR,2018-06-15,very clear American Robin song,6,3,3,very_clear,,Turdus migratorius,4.0,7940018
BIRD ID/2019_metadata entered/GAARFLOR_20180618_053001 Common Loon with rich avian chorus.wav,GAARFLOR_20180618_053001 Common Loon with rich avian chorus.wav,BIRD ID,GAAR,FLOR,2018-06-18,Common Loon with rich avian chorus,6,6,0,,,Gavia immer,3.0,8998396
BIRD ID/2019_metadata entered/GAARARRI_20180608_073133 chorus with Golden-crowned Sparrow full.wav,GAARARRI_20180608_073133 chorus with Golden-crowned Sparrow full.wav,BIRD ID,GAAR,ARRI,2018-06-08,chorus with Golden-crowned Sparrow full,6,6,0,,,Zonotrichia atricapilla,2.0,20552544
GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.wav,DENAPHEN_20160326_044922 Denali Kennels dogs howling.wav,GENERAL,DENA,PHEN,2016-03-26,Denali Kennels dogs howling,8,8,0,,,,,8379044
GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.wav,DENATOKO_20160513_130223 animal movement bird chorus and river.wav,GENERAL,DENA,TOKO,2016-05-13,animal movement bird chorus and river,6,6,0,,,,,11201444
GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers.wav,DENATOKO_20160511_070134 long cut of avian chorus with showers.wav,GENERAL,DENA,TOKO,2016-05-11,long cut of avian chorus with showers,6,6,0,,,,,156555044
GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.wav,LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.wav,GENERAL,LACL,KIJK,2018-06-19,ambience with raindrops and avian chorus,6,6,0,,,,,16493444
GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.wav,LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.wav,GENERAL,LACL,KIJK,2018-06-19,ambience with raindrops and punctuated bird song,3,3,0,,,,,11642444
GENERAL/GAARUPNO_20180607_143347 rain shower and insect wingbeats.wav,GAARUPNO_20180607_143347 rain shower and insect wingbeats.wav,GENERAL,GAAR,UPNO,2018-06-07,rain shower and insect wingbeats,3,3,0,,,,,18257444
GENERAL/DENATHRI_20150630_125351 rain faint chorus.wav,DENATHRI_20150630_125351 rain faint chorus.wav,GENERAL,DENA,THRI,2015-06-30,rain faint chorus,3,6,-3,faint,,,,13582844
"GENERAL/WRSTBLMT_20150507_150206 likely sliding snow, but could be wind.wav","WRSTBLMT_20150507_150206 likely sliding snow, but could be wind.wav",GENERAL,WRST,BLMT,2015-05-07,"likely sliding snow, but could be wind",0,0,0,,,,,5733044
GENERAL/DENABICR_20130713_003850-Wood Frog Crokes.wav,DENABICR_20130713_003850-Wood Frog Crokes.wav,GENERAL,DENA,BICR,2013-07-13,-Wood Frog Crokes,0,0,0,,,,,10054844
GENERAL/DENACATH_20120724_201945 Something Walks Past the Station.wav,DENACATH_20120724_201945 Something Walks Past the Station.wav,GENERAL,DENA,CATH,2012-07-24,Something Walks Past the Station,0,0,0,,,,,4057244
GENERAL/DENAESTO_20110803_000248_practice prop.wav,DENAESTO_20110803_000248_practice prop.wav,GENERAL,DENA,ESTO,2011-08-03,practice prop,0,0,0,,,,,11113244
GENERAL/DENAHIG1_20120728_122042 insect and running animal.wav,DENAHIG1_20120728_122042 insect and running animal.wav,GENERAL,DENA,HIG1,2012-07-28,insect and running animal,0,0,0,,,,,3263444
GENERAL/DENAMOOS_20180814_105458 if a tree falls.wav,DENAMOOS_20180814_105458 if a tree falls.wav,GENERAL,DENA,MOOS,2018-08-14,if a tree falls,0,0,0,,,,,1675844
GENERAL/DENASAN3_20120604_055259.wav,DENASAN3_20120604_055259.wav,GENERAL,DENA,SAN3,2012-06-04,,0,0,0,,,,,8379044
GENERAL/DENA_20110811_093000.wav,DENA_20110811_093000.wav,GENERAL,,,2011-08-11,DENA,0,0,0,,,,,10584108
"GEOPHONY/DENAUYEN_20120524_215113 excellent, steady rock slide audio.wav","DENAUYEN_20120524_215113 excellent, steady rock slide audio.wav",GEOPHONY,DENA,UYEN,2012-05-24,"excellent, steady rock slide audio",13,8,5,excellent,,,,8820044
GEOPHONY/DENAKICH_20120522_100025_Avalanche with bird song.wav,DENAKICH_20120522_100025_Avalanche with bird song.wav,GEOPHONY,DENA,KICH,2012-05-22,Avalanche with bird song,11,11,0,,,,,15787844
"GEOPHONY/GAARARRI_20180625_071639 rockslide, background Golden-crowned Sparrow song.wav","GAARARRI_20180625_071639 rockslide, background Golden-crowned Sparrow song.wav",GEOPHONY,GAAR,ARRI,2018-06-25,"rockslide, background Golden-crowned Sparrow song",11,11,0,,,,,11730644
"GEOPHONY/DENACATH_20120808_064000 good quality rock slide, slow speed, blocky extrusive igneous chunks.wav","DENACATH_20120808_064000 good quality rock slide, slow speed, blocky extrusive igneous chunks.wav",GEOPHONY,DENA,CATH,2012-08-08,"good quality rock slide, slow speed, blocky extrusive igneous chunks",11,8,3,good_quality,,,,7232444
GEOPHONY/DENAUDAL_20100702_132530 ice bubbles and creaking.wav,DENAUDAL_20100702_132530 ice bubbles and creaking.wav,GEOPHONY,DENA,UDAL,2010-07-02,ice bubbles and creaking,9,9,0,,,,,7585244
GEOPHONY/DENAUDAL_20100702_132533 ice bubbles and creaking BESSEL FILTER 1000 - 10000 Hz AMPLIFY +20 dBFS.mp3,DENAUDAL_20100702_132533 ice bubbles and creaking BESSEL FILTER 1000 - 10000 Hz AMPLIFY +20 dBFS.mp3,GEOPHONY,DENA,UDAL,2010-07-02,ice bubbles and creaking BESSEL FILTER 1000 - 10000 Hz AMPLIFY +20 dBFS,9,9,0,,,,,2620632
GEOPHONY/DENAUTOK_20190810_082714 rock slide with deep thump.wav,DENAUTOK_20190810_082714 rock slide with deep thump.wav,GEOPHONY,DENA,UTOK,2019-08-10,rock slide with deep thump,8,8,0,,,,,1852244
GEOPHONY/DENABACK_20140609_004005 pronounced rock slide with several phases.wav,DENABACK_20140609_004005 pronounced rock slide with several phases.wav,GEOPHONY,DENA,BACK,2014-06-09,pronounced rock slide with several phases,8,8,0,,,,,13582844
GEOPHONY/DENABACK_20140724_210128 rock slide with large pieces.wav,DENABACK_20140724_210128 rock slide with large pieces.wav,GEOPHONY,DENA,BACK,2014-07-24,rock slide with large pieces,8,8,0,,,,,14200244
"GEOPHONY/DENAUYEN_20120520_123906 avalanche in three tiers, much quantization noise.wav","DENAUYEN_20120520_123906 avalanche in three tiers, much quantization noise.wav",GEOPHONY,DENA,UYEN,2012-05-20,"avalanche in three tiers, much quantization noise",8,8,0,,,,,5997644
GEOPHONY/DENAUYEN_20120520_124131 short midground rock slide.wav,DENAUYEN_20120520_124131 short midground rock slide.wav,GEOPHONY,DENA,UYEN,2012-05-20,short midground rock slide,8,8,0,,,,,2381444
"GEOPHONY/DENAUYEN_20120520_180417 avalanche with two major bursts, then a long wash-out.wav","DENAUYEN_20120520_180417 avalanche with two major bursts, then a long wash-out.wav",GEOPHONY,DENA,UYEN,2012-05-20,"avalanche with two major bursts, then a long wash-out",8,8,0,,,,,7673444
"GEOPHONY/DENAUYEN_20120521_144128 clear, deep rock motion on the glacier.wav","DENAUYEN_20120521_144128 clear, deep rock motion on the glacier.wav",GEOPHONY,DENA,UYEN,2012-05-21,"clear, deep rock motion on the glacier",8,7,1,clear,,,,2626774
GEOPHONY/DENAUYEN_20120523_075701 quality rock slide audio.wav,DENAUYEN_20120523_075701 quality rock slide audio.wav,GEOPHONY,DENA,UYEN,2012-05-23,quality rock slide audio,8,8,0,,,,,9349244
GEOPHONY/DENABACK_20140609_004008 pronounced rock slide with several phases AMPLIFY +15 dBFS.mp3,DENABACK_20140609_004008 pronounced rock slide with several phases AMPLIFY +15 dBFS.mp3,GEOPHONY,DENA,BACK,2014-06-09,pronounced rock slide with several phases AMPLIFY +15 dBFS,8,8,0,,,,,4671048
GEOPHONY/DENARUTH_20190529_214609 prominent snow avalanche.wav,DENARUTH_20190529_214609 prominent snow avalanche.wav,GEOPHONY,DENA,RUTH,2019-05-29,prominent snow avalanche,8,8,0,,,,,13230044
GEOPHONY/DENAKICH_20120522_161217 Avalanche loud and sudden AMPLIFY -3 dBFS FADE OUT.wav,DENAKICH_20120522_161217 Avalanche loud and sudden AMPLIFY -3 dBFS FADE OUT.wav,GEOPHONY,DENA,KICH,2012-05-22,Avalanche loud and sudden AMPLIFY -3 dBFS FADE OUT,8,8,0,,,,,4841558
GEOPHONY/DENAKICH_20120522_161207 Avalanche loud and sudden.wav,DENAKICH_20120522_161207 Avalanche loud and sudden.wav,GEOPHONY,DENA,KICH,2012-05-22,Avalanche loud and sudden,8,8,0,,,,,28135844
GEOPHONY/DENASKGL_20210602_041003 rock slide.wav,DENASKGL_20210602_041003 rock slide.wav,GEOPHONY,DENA,SKGL,2021-06-02,rock slide,8,8,0,,,,,23637644
GEOPHONY/DENAUPEL_20130511_232743-RockSlide.wav,DENAUPEL_20130511_232743-RockSlide.wav,GEOPHONY,DENA,UPEL,2013-05-11,-RockSlide,8,8,0,,,,,6879644
"GEOPHONY/DENATRLA_20240802_152712 rock slide, probably from Nenana Ridge to northeast about 500 meters.wav","DENATRLA_20240802_152712 rock slide, probably from Nenana Ridge to northeast about 500 meters.wav",GEOPHONY,DENA,TRLA,2024-08-02,"rock slide, probably from Nenana Ridge to northeast about 500 meters",8,8,0,,,,,4762844
"GEOPHONY/DENATRLA_20240802_081511 a moderate-sized rock slide for this site location, probably from Nenana Ridge to the northeast, ~500 meters.wav","DENATRLA_20240802_081511 a moderate-sized rock slide for this site location, probably from Nenana Ridge to the northeast, ~500 meters.wav",GEOPHONY,DENA,TRLA,2024-08-02,"a moderate-sized rock slide for this site location, probably from Nenana Ridge to the northeast, ~500 meters",8,8,0,,,,,2116844
GEOPHONY/DENARUTH_20190526_040919 small avalanche with distinct slab-breaking event.wav,DENARUTH_20190526_040919 small avalanche with distinct slab-breaking event.wav,GEOPHONY,DENA,RUTH,2019-05-26,small avalanche with distinct slab-breaking event,8,8,0,,,,,13847444
"GEOPHONY/DENASUSH_20260612_111248 clear, crisp thunder.wav","DENASUSH_20260612_111248 clear, crisp thunder.wav",GEOPHONY,DENA,SUSH,2026-06-12,"clear, crisp thunder",7,6,1,clear,,,,7552046
GEOPHONY/GAARNWAL_20140708_140748 thunder no clipping.wav,GAARNWAL_20140708_140748 thunder no clipping.wav,GEOPHONY,GAAR,NWAL,2014-07-08,thunder no clipping,7,6,1,no_clipping,,,,7408844
GEOPHONY/GAARARRI_20180628_145728 Thunder and beginning of rain shower.wav,GAARARRI_20180628_145728 Thunder and beginning of rain shower.wav,GEOPHONY,GAAR,ARRI,2018-06-28,Thunder and beginning of rain shower,6,6,0,,,,,13318244
GEOPHONY/DENABICR_20130707_143335-Thunder And Rain.wav,DENABICR_20130707_143335-Thunder And Rain.wav,GEOPHONY,DENA,BICR,2013-07-07,-Thunder And Rain,6,6,0,,,,,14994044
"GEOPHONY/GAARARRI_20180624_075645 small rockfall, background avian chorus.wav","GAARARRI_20180624_075645 small rockfall, background avian chorus.wav",GEOPHONY,GAAR,ARRI,2018-06-24,"small rockfall, background avian chorus",6,6,0,,,,,9261044
GEOPHONY/GAARMWAL_20140629_164858 thunder.wav,GAARMWAL_20140629_164858 thunder.wav,GEOPHONY,GAAR,MWAL,2014-06-29,thunder,6,6,0,,,,,22491044
GEOPHONY/GAARITKI_20190621_150734 thunder.wav,GAARITKI_20190621_150734 thunder.wav,GEOPHONY,GAAR,ITKI,2019-06-21,thunder,6,6,0,,,,,12259844
INSECTS/GAARARRI_20180723_155006 Grasshoppers stridulating.wav,GAARARRI_20180723_155006 Grasshoppers stridulating.wav,INSECTS,GAAR,ARRI,2018-07-23,Grasshoppers stridulating,8,8,0,,,,,21432644
INSECTS/GAARARRI_20180625_195435 bumble bee and avian chorus.wav,GAARARRI_20180625_195435 bumble bee and avian chorus.wav,INSECTS,GAAR,ARRI,2018-06-25,bumble bee and avian chorus,6,6,0,,,,,5203844
INSECTS/GAARNNUT_20140705_214919 very clear insect wingbeats.wav,GAARNNUT_20140705_214919 very clear insect wingbeats.wav,INSECTS,GAAR,NNUT,2014-07-05,very clear insect wingbeats,6,3,3,very_clear,,,,10054844
