source_file,source_size_mb,format,bitrate,output_size_mb,pct_reduction,encode_seconds
DENABMUL_20210330_001843 Muldrow surge long cut.wav,49.4591,mp3,128k,8.9732,81.86,5.000
DENABMUL_20210330_001843 Muldrow surge long cut.wav,49.4591,mp3,192k,13.4598,72.79,4.000
DENABMUL_20210330_001843 Muldrow surge long cut.wav,49.4591,aac,128k,9.0419,81.72,7.000
DENABMUL_20210330_001843 Muldrow surge long cut.wav,49.4591,opus,96k,6.2422,87.38,5.000
DENABMUL_20210330_001843 Muldrow surge long cut.wav,49.4591,opus,64k,4.1409,91.63,10.000
WRSTBLMT_20170128_072543 excellent wolf pack howling.wav,8.4114,mp3,128k,1.5270,81.85,1.000
WRSTBLMT_20170128_072543 excellent wolf pack howling.wav,8.4114,mp3,192k,2.2905,72.77,1.000
WRSTBLMT_20170128_072543 excellent wolf pack howling.wav,8.4114,aac,128k,1.5485,81.60,2.000
WRSTBLMT_20170128_072543 excellent wolf pack howling.wav,8.4114,opus,96k,1.1530,86.30,1.000
WRSTBLMT_20170128_072543 excellent wolf pack howling.wav,8.4114,opus,64k,0.7774,90.76,1.000
"GLBAMCLEOD_20220903_234345 Humpback Whale breathing, breaching.wav",40.1224,mp3,128k,7.2796,81.86,3.000
"GLBAMCLEOD_20220903_234345 Humpback Whale breathing, breaching.wav",40.1224,mp3,192k,10.9194,72.79,3.000
"GLBAMCLEOD_20220903_234345 Humpback Whale breathing, breaching.wav",40.1224,aac,128k,7.3776,81.62,5.000
"GLBAMCLEOD_20220903_234345 Humpback Whale breathing, breaching.wav",40.1224,opus,96k,4.7833,88.08,4.000
"GLBAMCLEOD_20220903_234345 Humpback Whale breathing, breaching.wav",40.1224,opus,64k,3.1278,92.21,4.000
GAARFLOR_20180609_105204 Orange-crowned Warbler song.wav,3.8712,mp3,128k,0.7039,81.82,0.000
GAARFLOR_20180609_105204 Orange-crowned Warbler song.wav,3.8712,mp3,192k,1.0552,72.75,1.000
GAARFLOR_20180609_105204 Orange-crowned Warbler song.wav,3.8712,aac,128k,0.7109,81.64,1.000
GAARFLOR_20180609_105204 Orange-crowned Warbler song.wav,3.8712,opus,96k,0.5583,85.58,0.000
GAARFLOR_20180609_105204 Orange-crowned Warbler song.wav,3.8712,opus,64k,0.3692,90.47,0.000
DENABICR_20130715_230139 insect flight with pulsed behavior.wav,10.2619,mp3,128k,1.8626,81.85,0.000
DENABICR_20130715_230139 insect flight with pulsed behavior.wav,10.2619,mp3,192k,2.7940,72.78,2.000
DENABICR_20130715_230139 insect flight with pulsed behavior.wav,10.2619,aac,128k,1.8877,81.61,1.000
DENABICR_20130715_230139 insect flight with pulsed behavior.wav,10.2619,opus,96k,1.2606,87.72,1.000
DENABICR_20130715_230139 insect flight with pulsed behavior.wav,10.2619,opus,64k,0.8311,91.91,1.000
