id,title,source_path,archive_path,output_path,status,input_i_lufs,input_tp_db,input_lra,effective_target_lufs,target_offset_db,applied_gain_db,uncapped_gain_db,flags,notes
denabicr_20130809_020959,Great Grey Owl call with whooping end variation,"highlights/audio/BIRDS/DENABICR_20130809_020959 Great Grey Owl call with whooping end variation TRIM, NOISE REDUCTION, AMPLIFY.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENABICR_20130809_020959 Great Grey Owl call with whooping end variation TRIM, NOISE REDUCTION, AMPLIFY.mp3","highlights/audio_normalized/BIRDS/DENABICR_20130809_020959 Great Grey Owl call with whooping end variation TRIM, NOISE REDUCTION, AMPLIFY.mp3",ok,-20.19,-7.27,7.5,-18.0,0.32,2.19,2.19,,
denafang_20110708_023655,White-tailed Ptarmigan,highlights/audio/BIRDS/DENAFANG_20110708_023655_White-tailed Ptarmigan BESSEL BANDPASS 70 Hz 7000 Hz TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAFANG_20110708_023655_White-tailed Ptarmigan BESSEL BANDPASS 70 Hz 7000 Hz TRIM.mp3,highlights/audio_normalized/BIRDS/DENAFANG_20110708_023655_White-tailed Ptarmigan BESSEL BANDPASS 70 Hz 7000 Hz TRIM.mp3,ok,-49.1,-25.27,16.0,-37.1,1.59,12.0,31.1,gain_capped,boost capped at 12.0 dB (would have been 31.1 dB)
denahauk_20140606_035354,Northern Waterthrush song with other chorus members,highlights/audio/BIRDS/DENAHAUK_20140606_035354 Northern Waterthrush song with other chorus members TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAHAUK_20140606_035354 Northern Waterthrush song with other chorus members TRIM.mp3,highlights/audio_normalized/BIRDS/DENAHAUK_20140606_035354 Northern Waterthrush song with other chorus members TRIM.mp3,ok,-47.17,-32.79,20.3,-35.17,1.47,12.0,29.17,gain_capped,boost capped at 12.0 dB (would have been 29.2 dB)
denahauk_20140607_214150,Varied Thrush song long sequence,highlights/audio/BIRDS/DENAHAUK_20140607_214150 Varied Thrush song long sequence TRIM BANDPASS 700 - 8000 Hz AMPLIFY +20 dBu TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAHAUK_20140607_214150 Varied Thrush song long sequence TRIM BANDPASS 700 - 8000 Hz AMPLIFY +20 dBu TRIM.mp3,highlights/audio_normalized/BIRDS/DENAHAUK_20140607_214150 Varied Thrush song long sequence TRIM BANDPASS 700 - 8000 Hz AMPLIFY +20 dBu TRIM.mp3,ok,-37.45,-25.24,21.6,-25.45,2.62,12.0,19.45,gain_capped,boost capped at 12.0 dB (would have been 19.5 dB)
denahig1_20120802_035742,Willow Ptarmigan clear TRIMMED,highlights/audio/BIRDS/DENAHIG1_20120802_035742 Willow Ptarmigan clear TRIMMED.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAHIG1_20120802_035742 Willow Ptarmigan clear TRIMMED.mp3,highlights/audio_normalized/BIRDS/DENAHIG1_20120802_035742 Willow Ptarmigan clear TRIMMED.mp3,ok,-52.66,-29.46,10.5,-40.66,2.68,12.0,34.66,gain_capped,boost capped at 12.0 dB (would have been 34.7 dB)
denahog3_20120601_034833,"clear Fox Sparrow song possible calls, chorus background","highlights/audio/BIRDS/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.mp3","highlights/audio_normalized/BIRDS/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.mp3",ok,-46.5,-15.42,8.7,-34.5,0.16,12.0,28.5,gain_capped,boost capped at 12.0 dB (would have been 28.5 dB)
denahog3_20120605_074102,"American Tree Sparrow song, chorus background","highlights/audio/BIRDS/DENAHOG3_20120605_074102 American Tree Sparrow song, chorus background.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAHOG3_20120605_074102 American Tree Sparrow song, chorus background.mp3","highlights/audio_normalized/BIRDS/DENAHOG3_20120605_074102 American Tree Sparrow song, chorus background.mp3",ok,-19.67,-7.63,22.7,-18.0,-0.79,1.67,1.67,,
denahots_20140602_085834,"excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation","highlights/audio/BIRDS/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.mp3","highlights/audio_normalized/BIRDS/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.mp3",ok,-26.97,-12.16,27.0,-18.0,0.46,8.97,8.97,,
denakich_20120524_081441,"Wandering Tattler with background chorus of GCSP, FOSP","highlights/audio/BIRDS/DENAKICH_20120524_081441 Wandering Tattler with background chorus of GCSP, FOSP TRIM.mp3","archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAKICH_20120524_081441 Wandering Tattler with background chorus of GCSP, FOSP TRIM.mp3","highlights/audio_normalized/BIRDS/DENAKICH_20120524_081441 Wandering Tattler with background chorus of GCSP, FOSP TRIM.mp3",ok,-50.89,-27.61,2.1,-38.89,0.29,12.0,32.89,gain_capped,boost capped at 12.0 dB (would have been 32.9 dB)
denamuri_20150516_050450,Common Loon with robust chorus,highlights/audio/BIRDS/DENAMURI_20150516_050450 Common Loon with robust chorus TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAMURI_20150516_050450 Common Loon with robust chorus TRIM.mp3,highlights/audio_normalized/BIRDS/DENAMURI_20150516_050450 Common Loon with robust chorus TRIM.mp3,ok,-47.94,-35.42,19.3,-35.94,-0.6,12.0,29.94,gain_capped,boost capped at 12.0 dB (would have been 29.9 dB)
denamuri_20150519_094517,clear Blackpoll Warbler with dense chorus below,highlights/audio/BIRDS/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.mp3,archive/pre_loudness_normalize/highlights/audio/BIRDS/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.mp3,highlights/audio_normalized/BIRDS/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.mp3,ok,-35.32,-14.14,24.0,-23.32,4.37,12.0,17.32,gain_capped,boost capped at 12.0 dB (would have been 17.3 dB)
