id,title,duration_sec,integrated_lufs,rms_db,peak_db,dynamic_range_db,flags,notes
denabicr_20130809_020959,Great Grey Owl call with whooping end variation,17.97,,-28.31,-7.01,21.3,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denafang_20110708_023655,White-tailed Ptarmigan,16.45,,-50.92,-25.33,25.59,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahauk_20140606_035354,Northern Waterthrush song with other chorus members,69.76,,-54.57,-32.79,21.78,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahauk_20140607_214150,Varied Thrush song long sequence,40.64,,-45.77,-25.23,20.54,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahig1_20120802_035742,Willow Ptarmigan clear TRIMMED,7.42,,-53.3,-29.52,23.78,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahog3_20120601_034833,"clear Fox Sparrow song possible calls, chorus background",207.0,,-33.69,-15.42,18.27,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahog3_20120605_074102,"American Tree Sparrow song, chorus background",70.35,,-28.65,-7.64,21.02,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denahots_20140602_085834,"excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation",52.24,,-35.86,-12.16,23.7,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denakich_20120524_081441,"Wandering Tattler with background chorus of GCSP, FOSP",18.75,,-44.4,-27.61,16.79,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denamuri_20150516_050450,Common Loon with robust chorus,23.31,,-51.95,-35.53,16.42,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denamuri_20150519_094517,clear Blackpoll Warbler with dense chorus below,100.3,,-44.12,-14.14,29.98,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denamuri_20150523_045418,"chorus with Swainson's Thrush, Common Loon",59.91,,-54.41,-33.05,21.36,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denamuri_20150526_060431,very reverberant Sandhill Crane with chorus,37.35,,-38.37,-10.68,27.69,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denapol2_20120619_092801,excellent clear Fox Sparrow song,28.45,,-43.97,-23.03,20.94,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denasan3_20120603_020932,White-crowned Sparrow song with chorus background,120.0,,-48.54,-28.29,20.25,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denasush_20260610_092353,"excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small",54.76,,-27.25,-0.46,26.78,clipping_risk,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatoko_20160512_052310,White-crowned Sparrow song with chorus background,61.0,,-40.47,-20.75,19.72,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatoko_20160616_053228,"Orange-crowned Warbler song background chorus, Tokositna River",394.0,,-31.98,-5.36,26.62,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatrla_20240624_045058,clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU,68.2,,-29.63,-3.66,25.97,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denawocr_20150624_202549,Fox Sparrow song with thunder and Swainson's Thrush,29.08,,-24.18,-4.85,19.33,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarflor_20180615_045829,very clear American Robin song,90.0,,-51.2,-32.3,18.9,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarflor_20180617_125710,"chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel",169.01,,-53.02,-31.43,21.59,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarflor_20180618_053001,Common Loon with rich avian chorus,102.0,,-57.93,-38.34,19.59,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarmwal_20140617_064326,Mew Gull with chorus background,73.14,,-55.38,-30.87,24.51,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarnnut_20140704_072937,"clear, punctuated Common Loon, background chorus",531.02,,-56.46,-27.31,29.15,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarupno_20180606_150920,avian chorus with Savanah Sparrow and occasional insect wingbeats,236.0,,-59.32,-33.78,25.53,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarupno_20180607_025501,Savanah Sparrow song with chorus background,82.0,,-58.41,-31.21,27.2,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbabartc_20200707_111214,GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav,61.0,,-28.78,-4.07,24.72,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbarendu_20220616_230000,very clear Varied Thrush song background Humpback Whale activity (TRIM),429.16,,-38.22,-5.95,32.26,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katmcros_20170731_051841,"Gray-cheeked Thrush song with diverse, distant riparian background chorus",78.0,,-63.97,-34.67,29.3,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katmjojo_20160710_221044,excellent Common Loon call chorus,135.0,,-69.53,-49.96,19.57,quiet_outlier;very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katmkaba_20160823_205149,"excellent very clear Northern Raven calls, background American Tree Sparrow calls",66.0,,-46.81,-21.51,25.3,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
