id,title,audio_path,duration_sec,leading_silence_sec,trailing_silence_sec,max_internal_gap_sec,flags,notes
denabicr_20130809_020959,Great Grey Owl call with whooping end variation,"highlights/audio/BIRDS/DENABICR_20130809_020959 Great Grey Owl call with whooping end variation TRIM, NOISE REDUCTION, AMPLIFY.mp3",16.361,0.255,2.426,2.473,trailing,trailing silence 2.43s
denafang_20110708_023655,White-tailed Ptarmigan,highlights/audio/BIRDS/DENAFANG_20110708_023655_White-tailed Ptarmigan BESSEL BANDPASS 70 Hz 7000 Hz TRIM.mp3,16.448,0.0,0.0,0.0,,
denahauk_20140606_035354,Northern Waterthrush song with other chorus members,highlights/audio/BIRDS/DENAHAUK_20140606_035354 Northern Waterthrush song with other chorus members TRIM.mp3,69.758,0.0,0.0,0.0,,
denahauk_20140607_214150,Varied Thrush song long sequence,highlights/audio/BIRDS/DENAHAUK_20140607_214150 Varied Thrush song long sequence TRIM BANDPASS 700 - 8000 Hz AMPLIFY +20 dBu TRIM.mp3,40.645,0.0,0.0,0.0,,
denahig1_20120802_035742,Willow Ptarmigan clear TRIMMED,highlights/audio/BIRDS/DENAHIG1_20120802_035742 Willow Ptarmigan clear TRIMMED.mp3,7.423,0.186,0.0,0.0,,
denahog3_20120601_034833,"clear Fox Sparrow song possible calls, chorus background","highlights/audio/BIRDS/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.mp3",207.0,0.0,0.0,0.221,,
denahog3_20120605_074102,"American Tree Sparrow song, chorus background","highlights/audio/BIRDS/DENAHOG3_20120605_074102 American Tree Sparrow song, chorus background.mp3",70.348,0.023,0.023,5.689,internal_gap,internal gap 5.69s
denahots_20140602_085834,"excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation","highlights/audio/BIRDS/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.mp3",52.236,0.035,0.0,1.962,,
denakich_20120524_081441,"Wandering Tattler with background chorus of GCSP, FOSP","highlights/audio/BIRDS/DENAKICH_20120524_081441 Wandering Tattler with background chorus of GCSP, FOSP TRIM.mp3",18.753,0.0,0.0,0.0,,
denamuri_20150516_050450,Common Loon with robust chorus,highlights/audio/BIRDS/DENAMURI_20150516_050450 Common Loon with robust chorus TRIM.mp3,23.307,0.0,0.0,0.0,,
denamuri_20150519_094517,clear Blackpoll Warbler with dense chorus below,highlights/audio/BIRDS/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.mp3,100.3,0.023,0.325,4.365,internal_gap,internal gap 4.37s
denamuri_20150523_045418,"chorus with Swainson's Thrush, Common Loon","highlights/audio/BIRDS/DENAMURI_20150523_045418 chorus with Swainson's Thrush, Common Loon TRIM.mp3",59.915,0.0,0.0,0.0,,
denamuri_20150526_060431,very reverberant Sandhill Crane with chorus,"highlights/audio/BIRDS/DENAMURI_20150526_060431 very reverberant Sandhill Crane with chorus, TRIM.mp3",37.349,0.0,0.302,1.521,,
denapol2_20120619_092801,excellent clear Fox Sparrow song,highlights/audio/BIRDS/DENAPOL2_20120619_092801 excellent clear Fox Sparrow song TRIM.mp3,28.451,0.0,0.0,0.0,,
denasan3_20120603_020932,White-crowned Sparrow song with chorus background,highlights/audio/BIRDS/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.mp3,120.0,0.0,0.0,0.0,,
denasush_20260610_092353,"excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small","highlights/audio/BIRDS/DENASUSH_20260610_092353 excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small TRIM).mp3",54.759,0.0,0.0,0.0,,
denatoko_20160512_052310,White-crowned Sparrow song with chorus background,highlights/audio/BIRDS/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.mp3,61.0,0.0,0.0,0.0,,
denatoko_20160616_053228,"Orange-crowned Warbler song background chorus, Tokositna River","highlights/audio/BIRDS/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.mp3",394.0,0.0,0.0,0.0,,
