filepath,old_title,new_title,old_artist,new_artist,changed
"BIRDS/DENABICR_20130809_020959 Great Grey Owl call with whooping end variation TRIM, NOISE REDUCTION, AMPLIFY.mp3",Great Grey Owl call with whooping end variation,Great Grey Owl call with whooping end variation,National Park Service,National Park Service,False
BIRDS/DENAFANG_20110708_023655_White-tailed Ptarmigan BESSEL BANDPASS 70 Hz 7000 Hz TRIM.mp3,White-tailed Ptarmigan,White-tailed Ptarmigan,National Park Service,National Park Service,False
BIRDS/DENAHAUK_20140606_035354 Northern Waterthrush song with other chorus members TRIM.mp3,Northern Waterthrush song with other chorus members,Northern Waterthrush song with other chorus members,National Park Service,National Park Service,False
BIRDS/DENAHAUK_20140607_214150 Varied Thrush song long sequence TRIM BANDPASS 700 - 8000 Hz AMPLIFY +20 dBu TRIM.mp3,Varied Thrush song long sequence,Varied Thrush song long sequence,National Park Service,National Park Service,False
BIRDS/DENAHIG1_20120802_035742 Willow Ptarmigan clear TRIMMED.mp3,Willow Ptarmigan clear TRIMMED,Willow Ptarmigan clear TRIMMED,National Park Service,National Park Service,False
"BIRDS/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.mp3",,"clear Fox Sparrow song possible calls, chorus background",,National Park Service,True
"BIRDS/DENAHOG3_20120605_074102 American Tree Sparrow song, chorus background.mp3","American Tree Sparrow song, chorus background","American Tree Sparrow song, chorus background",National Park Service,National Park Service,False
"BIRDS/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.mp3",,"excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation",,National Park Service,True
"BIRDS/DENAKICH_20120524_081441 Wandering Tattler with background chorus of GCSP, FOSP TRIM.mp3","Wandering Tattler with background chorus of GCSP, FOSP","Wandering Tattler with background chorus of GCSP, FOSP",National Park Service,National Park Service,False
BIRDS/DENAMURI_20150516_050450 Common Loon with robust chorus TRIM.mp3,Common Loon with robust chorus,Common Loon with robust chorus,National Park Service,National Park Service,False
BIRDS/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.mp3,,clear Blackpoll Warbler with dense chorus below,,National Park Service,True
"BIRDS/DENAMURI_20150523_045418 chorus with Swainson's Thrush, Common Loon TRIM.mp3","chorus with Swainson's Thrush, Common Loon","chorus with Swainson's Thrush, Common Loon",National Park Service,National Park Service,False
"BIRDS/DENAMURI_20150526_060431 very reverberant Sandhill Crane with chorus, TRIM.mp3",very reverberant Sandhill Crane with chorus,very reverberant Sandhill Crane with chorus,National Park Service,National Park Service,False
BIRDS/DENAPOL2_20120619_092801 excellent clear Fox Sparrow song TRIM.mp3,excellent clear Fox Sparrow song,excellent clear Fox Sparrow song,National Park Service,National Park Service,False
BIRDS/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.mp3,,White-crowned Sparrow song with chorus background,,National Park Service,True
"BIRDS/DENASUSH_20260610_092353 excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small TRIM).mp3","excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small","excellent Northern Raven flight calls with reverberance, preceded by wingbeats (small",National Park Service,National Park Service,False
BIRDS/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.mp3,,White-crowned Sparrow song with chorus background,,National Park Service,True
"BIRDS/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.mp3",,"Orange-crowned Warbler song background chorus, Tokositna River",,National Park Service,True
BIRDS/DENATRLA_20240624_045058 clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU TRIM.mp3,clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU,clear American Three-toed Woodpecker drumming with lively chorus SWTH DEJU,National Park Service,National Park Service,False
BIRDS/DENAWOCR_20150624_202549 Fox Sparrow song with thunder and Swainson's Thrush TRIM.mp3,,Fox Sparrow song with thunder and Swainson's Thrush,,National Park Service,True
BIRDS/GAARFLOR_20180615_045829 very clear American Robin song.mp3,Swainson's Thrush,very clear American Robin song,"67.13968
, -150.87558
","Betchkal, Davyd",True
"BIRDS/GAARFLOR_20180617_125710 chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel.mp3","chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel","chorus with White-crowned Sparrow, Swainson's Thrush, American Red Squirrel","Betchkal, Davyd","Betchkal, Davyd",False
BIRDS/GAARFLOR_20180618_053001 Common Loon with rich avian chorus.mp3,Chorus,Common Loon with rich avian chorus,"67.13968
, -150.87558
","Betchkal, Davyd",True
BIRDS/GAARMWAL_20140617_064326 Mew Gull with chorus background TRIM.mp3,Mew Gull with chorus background,Mew Gull with chorus background,"Betchkal, Davyd","Betchkal, Davyd",False
"BIRDS/GAARNNUT_20140704_072937 clear, punctuated Common Loon, background chorus.mp3","clear, punctuated Common Loon, background chorus","clear, punctuated Common Loon, background chorus","Betchkal, Davyd","Betchkal, Davyd",False
BIRDS/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.mp3,,avian chorus with Savanah Sparrow and occasional insect wingbeats,,National Park Service,True
BIRDS/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.mp3,,Savanah Sparrow song with chorus background,,National Park Service,True
BIRDS/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.mp3,,GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav,,National Park Service,True
BIRDS/GLBARENDU_20220616_230000 very clear Varied Thrush song background Humpback Whale activity (TRIM).mp3,very clear Varied Thrush song background Humpback Whale activity (TRIM),very clear Varied Thrush song background Humpback Whale activity (TRIM),National Park Service,National Park Service,False
"BIRDS/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.mp3",,"Gray-cheeked Thrush song with diverse, distant riparian background chorus",,National Park Service,True
BIRDS/KATMJOJO_20160710_221044 excellent Common Loon call chorus.mp3,excellent Common Loon call chorus,excellent Common Loon call chorus,"Betchkal, Davyd; Peterson,  Robert","Betchkal, Davyd; Peterson,  Robert",False
"BIRDS/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.mp3",,"excellent very clear Northern Raven calls, background American Tree Sparrow calls",,National Park Service,True
BIRDS/LACLHANM_20190829_062559 very clear Common Loon calls with extensive echo and some distortion (TRIM).mp3,very clear Common Loon calls with extensive echo and some distortion (TRIM),very clear Common Loon calls with extensive echo and some distortion (TRIM),National Park Service,National Park Service,False
GENERAL/DENAHIG1_20120728_122042 insect and running animal.mp3,,insect and running animal,,National Park Service,True
GENERAL/DENAMOOS_20180814_105458 if a tree falls.mp3,,if a tree falls,,National Park Service,True
GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling TRIM.mp3,Denali Kennels dogs howling,Denali Kennels dogs howling,National Park Service,National Park Service,False
