source,output,source_mb,output_mb,pct_reduction,encode_seconds,status,error
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAHOG3_20120601_034833 clear Fox Sparrow song possible calls, chorus background.mp3",17.41,4.74,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAHOTS_20140602_085834 excellent slow Northern Raven 'croak' calls, popping call, and water-droplet with reverberation TRIM BANDPASS 300 - 8000 Hz AMPLIFY _15 dBu.mp3",4.4,1.2,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAMURI_20150519_094517 clear Blackpoll Warbler with dense chorus below TRIM.mp3,8.44,2.3,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENASAN3_20120603_020932 White-crowned Sparrow song with chorus background.mp3,10.09,2.75,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENATOKO_20160512_052310 White-crowned Sparrow song with chorus background.mp3,5.13,1.4,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENATOKO_20160616_053228 Orange-crowned Warbler song background chorus, Tokositna River.mp3",33.14,9.02,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAWOCR_20150624_202549 Fox Sparrow song with thunder and Swainson's Thrush TRIM.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/DENAWOCR_20150624_202549 Fox Sparrow song with thunder and Swainson's Thrush TRIM.mp3,2.45,0.67,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARFLOR_20180615_045829 very clear American Robin song.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARFLOR_20180615_045829 very clear American Robin song.mp3,7.57,2.06,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARFLOR_20180618_053001 Common Loon with rich avian chorus.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARFLOR_20180618_053001 Common Loon with rich avian chorus.mp3,8.58,2.34,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.mp3,19.85,5.4,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.mp3,6.9,1.88,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.mp3,5.13,1.4,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.mp3",6.56,1.79,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/BIRDS/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.mp3",5.55,1.51,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENAHIG1_20120728_122042 insect and running animal.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENAHIG1_20120728_122042 insect and running animal.mp3,3.11,0.85,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENAMOOS_20180814_105458 if a tree falls.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENAMOOS_20180814_105458 if a tree falls.mp3,1.6,0.44,72.7,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.mp3,7.99,2.18,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENATHRI_20150630_125351 rain faint chorus.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENATHRI_20150630_125351 rain faint chorus.mp3,12.95,3.53,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers TRIM.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers TRIM.mp3,10.09,2.75,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.mp3,10.68,2.91,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.mp3,17.74,2.41,86.4,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.mp3,11.1,3.02,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.mp3,15.73,4.28,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENABMUL_20210330_001843 Muldrow surge long cut TRIM.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENABMUL_20210330_001843 Muldrow surge long cut TRIM.mp3,10.09,2.75,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge long cut TRIM.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge long cut TRIM.mp3,10.09,2.75,72.8,,skipped,
"/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features TRIM.wav","/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features TRIM.mp3",10.09,2.75,72.8,,skipped,
/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAKICH_20120522_100025_Avalanche with bird song.wav,/Users/eruebush/dev/nps_acoustic_highlights/highlights/audio/GEOPHONY/DENAKICH_20120522_100025_Avalanche with bird song.mp3,15.06,4.1,72.8,,skipped,
